,mal_id,episodes,airing,duration,rating,score,scored_by,rank,popularity,year,genres,Action,Adventure,Award Winning,Comedy,Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
0,1,26.0,False,24,18,8.75,941613.0,44.0,43,1998.0,"Action,Award Winning,Sci-Fi",1,0,1,0,0,0,0,0,0,1,0,0,0,0
2,6,26.0,False,24,14,8.22,365752.0,333.0,248,1998.0,"Action,Adventure,Sci-Fi",1,1,0,0,0,0,0,0,0,1,0,0,0,0
3,7,26.0,False,25,14,7.24,43371.0,2943.0,1828,2002.0,"Action,Drama,Mystery,Supernatural",1,0,0,0,1,0,0,1,0,0,0,0,1,0
4,8,52.0,False,23,10,6.93,6471.0,4440.0,5250,2004.0,"Adventure,Fantasy,Supernatural",0,1,0,0,0,1,0,0,0,0,0,0,1,0
5,15,145.0,False,23,14,7.91,87861.0,741.0,1279,2005.0,Sports,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,16,24.0,False,23,14,8.0,82801.0,616.0,881,2005.0,"Comedy,Drama,Romance",0,0,0,1,1,0,0,0,1,0,0,0,0,0
7,17,52.0,False,23,14,7.55,13158.0,1637.0,4327,2002.0,"Comedy,Slice of Life,Sports",0,0,0,1,0,0,0,0,0,0,1,1,0,0
8,18,24.0,False,27,14,8.16,102493.0,410.0,1272,2004.0,"Action,Drama",1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,19,74.0,False,24,16,8.88,395571.0,24.0,136,2004.0,"Drama,Mystery,Suspense",0,0,0,0,1,0,0,1,0,0,0,0,0,1
10,20,220.0,False,23,14,7.99,1931991.0,625.0,8,2002.0,"Action,Adventure,Fantasy",1,1,0,0,0,1,0,0,0,0,0,0,0,0
12,22,178.0,False,22,14,7.85,83192.0,846.0,1276,2001.0,Sports,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,23,12.0,False,23,10,6.4,1418.0,7217.0,8417,2004.0,"Action,Sports",1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,24,26.0,False,23,14,7.89,148210.0,768.0,711,2004.0,"Comedy,Romance",0,0,0,1,0,0,0,0,1,0,0,0,0,0
